Locus_tag	Orig_Location	Orig_Num_Transcripts	Contig:start-end	Strand	Gene_Length	Num_Transcripts	mRNA_AED	CDS_AED	Description
I1I15_000141	contig1:348124-348546	1	contig1:348016-349011	+	995	1	0.288	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000142	contig1:349093-350291	1	contig1:349093-350291	-	1198	1	0.000	0.000	no change
I1I15_000143	contig1:354374-357027	1	contig1:354374-357062	+	2688	1	0.007	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000144	contig1:357218-358903	1	contig1:357218-358903	-	1685	1	0.000	0.000	no change
I1I15_000145	contig1:360604-361374	1	contig1:360604-361374	+	770	1	0.000	0.000	no change
I1I15_000146	contig1:361785-362295	1	contig1:361785-362295	-	510	1	0.000	0.000	no change
I1I15_000147	contig1:365743-366685	1	contig1:365743-366685	+	942	1	0.000	0.000	no change
I1I15_000148	contig1:366906-368690	1	contig1:366713-368835	-	2122	1	0.091	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000149	contig1:369113-372765	1	contig1:368909-373584	+	4675	3	0.037	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000150	contig1:373851-375776	1	contig1:373637-375776	+	2139	1	0.050	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000151	contig1:377265-378268	1	contig1:377265-378268	+	1003	1	0.000	0.000	no change
I1I15_000152	contig1:378683-379588	1	contig1:378683-379588	-	905	1	0.000	0.000	no change
I1I15_000153	contig1:380078-381235	1	contig1:380078-381235	-	1157	1	0.000	0.000	no change
I1I15_000154	contig1:382891-386743	1	contig1:382834-387010	+	4176	2	0.020	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000155	contig1:387900-388682	1	contig1:387900-388682	-	782	1	0.000	0.000	no change
I1I15_000156	contig1:389280-390098	1	contig1:389280-390098	+	818	1	0.000	0.000	no change
I1I15_000157	contig1:392311-394112	1	contig1:391979-394190	+	2211	1	0.111	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000158	contig1:394613-394971	1	contig1:394455-395071	-	616	1	0.269	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000159	contig1:395901-397637	1	contig1:395796-397704	+	1908	1	0.045	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000160	contig1:398044-399291	1	contig1:398044-399291	-	1247	1	0.000	0.000	no change
I1I15_000161	contig1:400035-401408	1	contig1:400035-401408	+	1373	1	0.000	0.000	no change
I1I15_000162	contig1:405359-405790	1	contig1:405359-405790	+	431	1	0.000	0.000	no change
I1I15_000163	contig1:405863-406661	1	contig1:405863-406873	+	1010	1	0.123	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000164	contig1:407107-407265	1	contig1:407107-407265	-	158	1	0.000	0.000	no change
I1I15_000165	contig1:408443-408799	1	contig1:408443-408799	+	356	1	0.000	0.000	no change
I1I15_000166	contig1:409704-410105	1	contig1:409704-410105	+	401	1	0.000	0.000	no change
I1I15_000167	contig1:410787-411913	1	contig1:410787-411995	-	1208	1	0.038	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000168	contig1:413186-414109	1	contig1:413186-414124	+	938	1	0.008	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000169	contig1:417306-418445	1	contig1:417306-418445	+	1139	1	0.000	0.000	no change
I1I15_000170	contig1:418494-421199	1	contig1:418494-421199	-	2705	1	0.000	0.000	no change
I1I15_000171	contig1:421788-423417	1	contig1:421445-423496	+	2051	1	0.107	0.019	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated;CDS update [translation pident: 96%]
I1I15_000172	contig1:423634-425507	1	contig1:423634-425507	-	1873	1	0.000	0.000	no change
I1I15_000173	contig1:426872-428459	1	contig1:426872-428459	-	1587	1	0.000	0.000	no change
I1I15_000174	contig1:428862-431603	1	contig1:428862-431603	+	2741	1	0.000	0.000	no change
I1I15_000175	contig1:433586-434518	1	contig1:433385-434841	+	1456	1	0.180	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000176	contig1:435681-436364	1	contig1:435506-436796	-	1290	1	0.220	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000177	contig1:438407-439450	1	contig1:438407-439450	+	1043	1	0.000	0.000	no change
I1I15_000178	contig1:443962-444379	1	contig1:443962-444379	-	417	1	0.000	0.000	no change
I1I15_000179	contig1:444923-446862	1	contig1:444923-446862	-	1939	1	0.000	0.000	no change
I1I15_000180	contig1:447909-449183	1	contig1:447909-449183	+	1274	1	0.000	0.000	no change
I1I15_000181	contig1:449285-449950	1	contig1:449285-449950	-	665	1	0.000	0.000	no change
I1I15_000182	contig1:450351-451084	1	contig1:450351-451084	-	733	1	0.000	0.000	no change
I1I15_000183	contig1:452819-454189	1	contig1:452819-454189	-	1370	1	0.000	0.000	no change
I1I15_000184	contig1:454773-455527	1	contig1:454662-455527	-	865	1	0.090	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000185	contig1:458611-459766	1	contig1:458611-459766	+	1155	1	0.000	0.000	no change
I1I15_000186	contig1:459969-461790	1	contig1:459969-461790	-	1821	1	0.000	0.000	no change
I1I15_000187	contig1:462824-465416	1	contig1:462625-465596	+	2971	1	0.078	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000188	contig1:465878-466560	1	contig1:465597-466774	-	1177	1	0.237	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000189	contig1:467661-469686	1	contig1:467661-469686	-	2025	1	0.000	0.000	no change
I1I15_000190	contig1:470659-471705	1	contig1:470659-471705	+	1046	1	0.000	0.000	no change
I1I15_000191	contig1:472180-473920	1	contig1:472180-473920	+	1740	1	0.000	0.000	no change
I1I15_000192	contig1:474109-476949	1	contig1:474109-476949	-	2840	1	0.000	0.000	no change
I1I15_000193	contig1:477263-478489	1	contig1:477263-478489	-	1226	1	0.000	0.000	no change
I1I15_000194	contig1:479234-481119	1	contig1:479234-481315	+	2081	1	0.048	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000195	contig1:481630-483092	1	contig1:481630-483092	+	1462	1	0.000	0.000	no change
I1I15_000196	contig1:483465-484672	1	contig1:483465-484672	+	1207	1	0.000	0.000	no change
I1I15_000197	contig1:484885-484956	1	contig1:484885-484956	-	71	1	0.000	0.000	no change
I1I15_000198	contig1:485368-487308	1	contig1:485318-487506	-	2188	1	0.057	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000199	contig1:490449-492654	1	contig1:490449-492654	-	2205	1	0.000	0.000	no change
I1I15_000200	contig1:493252-493971	1	contig1:493252-493971	+	719	1	0.000	0.000	no change
I1I15_000201	contig1:494927-496477	1	contig1:494418-496477	+	2059	1	0.124	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000202	contig1:496606-497835	1	contig1:496606-497835	-	1229	1	0.000	0.000	no change
I1I15_000203	contig1:498737-500621	1	contig1:498737-500621	-	1884	1	0.000	0.000	no change
I1I15_000204	contig1:501247-504818	1	contig1:501247-504818	+	3571	1	0.000	0.000	no change
I1I15_000205	contig1:505253-505909	1	contig1:505253-505909	-	656	1	0.000	0.000	no change
I1I15_000206	contig1:506804-507797	1	contig1:506675-507797	-	1122	1	0.061	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000207	contig1:508378-508863	1	contig1:508378-508863	+	485	1	0.000	0.000	no change
I1I15_000208	contig1:509329-511323	1	contig1:509300-511381	+	2081	1	0.023	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000209	contig1:511415-513055	1	contig1:511415-513239	-	1824	1	0.058	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000210	contig1:514450-515731	1	contig1:514450-515731	+	1281	1	0.000	0.000	no change
I1I15_000211	contig1:515783-517065	1	contig1:515783-517065	-	1282	1	0.000	0.000	no change
I1I15_000212	contig1:520023-522797	1	contig1:520023-522797	-	2774	1	0.000	0.000	no change
I1I15_000213	contig1:523454-524230	1	contig1:523454-524230	+	776	1	0.000	0.000	no change
I1I15_000214	contig1:524682-525458	1	contig1:524682-525458	+	776	1	0.000	0.000	no change
I1I15_000215	contig1:525907-526287	1	contig1:525907-526287	+	380	1	0.000	0.000	no change
I1I15_000216	contig1:527596-528398	1	contig1:527596-528398	-	802	1	0.000	0.000	no change
I1I15_000217	contig1:529646-530857	1	contig1:529646-530857	+	1211	1	0.000	0.000	no change
I1I15_000218	contig1:531575-532039	1	contig1:531575-532039	+	464	1	0.000	0.000	no change
I1I15_000219	contig1:532209-534359	1	contig1:532087-534535	-	2448	3	0.021	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000220	contig1:534804-536051	1	contig1:534711-536051	-	1340	1	0.035	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000221	contig1:538389-540848	1	contig1:538389-540848	+	2459	1	0.000	0.000	no change
I1I15_000222	contig1:542429-544003	1	contig1:542429-544003	-	1574	1	0.000	0.000	no change
I1I15_000223	contig1:544639-546738	1	contig1:544536-547828	-	3292	1	0.193	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000224	contig1:548478-550084	1	contig1:547837-551160	-	3323	1	0.264	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000225	contig1:552359-553076	1	contig1:552359-553076	-	717	1	0.000	0.000	no change
I1I15_000226	contig1:553977-554592	1	contig1:553977-554592	+	615	1	0.000	0.000	no change
I1I15_000227	contig1:556452-556981	1	contig1:556452-556981	+	529	1	0.000	0.000	no change
I1I15_000228	contig1:557447-557900	1	contig1:557447-557900	+	453	1	0.000	0.000	no change
I1I15_000229	contig1:558352-558920	1	contig1:558352-558920	-	568	1	0.000	0.000	no change
I1I15_000230	contig1:560383-561252	1	contig1:560383-561574	+	1191	1	0.140	0.106	gene coordinates updated;3prime UTR added;mRNA updated;CDS update [translation pident: 82%]
I1I15_000231	contig1:561721-562656	1	contig1:561609-563054	+	1445	1	0.190	0.047	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated;CDS update [translation pident: 91%]
I1I15_000232	contig1:564374-568142	1	contig1:564329-568545	+	4216	1	0.058	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000233	contig1:568713-570296	1	contig1:568713-570296	+	1583	1	0.000	0.000	no change
I1I15_000234	contig1:570932-572648	1	contig1:570932-572648	+	1716	1	0.000	0.000	no change
I1I15_000235	contig1:573251-574428	1	contig1:573251-574428	-	1177	1	0.000	0.000	no change
I1I15_000236	contig1:576800-578156	1	contig1:576800-578156	+	1356	1	0.000	0.000	no change
I1I15_000237	contig1:578764-580764	1	contig1:578764-580764	+	2000	1	0.000	0.000	no change
I1I15_000238	contig1:580949-581854	1	contig1:580949-581854	-	905	1	0.000	0.000	no change
I1I15_000239	contig1:585110-586827	1	contig1:585110-586827	+	1717	1	0.000	0.000	no change
I1I15_000240	contig1:587552-588728	1	contig1:587552-588728	-	1176	1	0.000	0.000	no change
I1I15_000241	contig1:592182-596955	1	contig1:592182-596955	+	4773	1	0.000	0.000	no change
I1I15_000242	contig1:597544-599553	1	contig1:597544-599553	-	2009	1	0.000	0.000	no change
I1I15_000243	contig1:602735-603562	1	contig1:602627-603680	+	1053	1	0.107	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000244	contig1:603747-603908	1	contig1:603747-603908	+	161	1	0.000	0.000	no change
I1I15_000245	contig1:604152-605147	1	contig1:604152-605260	+	1108	1	0.051	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000246	contig1:606132-606386	1	contig1:605275-606386	-	1111	1	0.386	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000247	contig1:608919-610256	1	contig1:608650-610342	+	1692	1	0.105	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000248	contig1:610809-612711	1	contig1:610809-612711	+	1902	1	0.000	0.000	no change
I1I15_000249	contig1:613007-613105	1	contig1:613007-613105	+	98	1	0.000	0.000	no change
I1I15_000250	contig1:613647-615326	1	contig1:613647-615326	-	1679	1	0.000	0.000	no change
I1I15_000251	contig1:615891-617701	1	contig1:615891-617701	+	1810	1	0.000	0.000	no change
I1I15_000252	contig1:617789-618900	1	contig1:617789-618900	-	1111	1	0.000	0.000	no change
I1I15_000253	contig1:619416-620907	1	contig1:619416-620907	+	1491	1	0.000	0.000	no change
